GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AstroType,com.github.tqs.model,Score,0,19,1,3,0,5,1,3,0,2
AstroType,com.github.tqs.model,WordProvider,0,151,0,14,0,43,0,13,0,6
AstroType,com.github.tqs.model,Word,0,143,0,16,0,30,0,17,0,9
AstroType,com.github.tqs.model,Difficulty,0,21,0,0,0,4,0,1,0,1
AstroType,com.github.tqs.model,HighScoreManager,7,278,1,17,2,67,1,19,0,11
AstroType,com.github.tqs.model.exceptions.game,NoTargetWordException,0,3,0,0,0,1,0,1,0,1
AstroType,com.github.tqs.model.exceptions.word,AlreadySpelledException,0,3,0,0,0,1,0,1,0,1
AstroType,com.github.tqs.model.exceptions.word,InvalidWordException,0,3,0,0,0,1,0,1,0,1
AstroType,com.github.tqs.model.exceptions.word,RanOutOfTimeException,0,3,0,0,0,1,0,1,0,1
AstroType,com.github.tqs.model.exceptions.word,InvalidNextCharException,0,3,0,0,0,1,0,1,0,1
AstroType,com.github.tqs.view.exceptions,InputCancelledException,3,0,0,0,1,0,1,0,1,0
AstroType,com.github.tqs.controller,Game.new TimerTask() {...},0,17,0,0,0,3,0,2,0,2
AstroType,com.github.tqs.controller,Game.new TimerTask() {...},0,10,0,0,0,3,0,2,0,2
AstroType,com.github.tqs.controller,Game,11,300,3,27,5,74,3,25,0,12
AstroType,com.github.tqs.model.exceptions.score,InvalidNameException,0,3,0,0,0,1,0,1,0,1
AstroType,com.github.tqs.model.exceptions.score,ScoreDataInvalid,0,3,0,0,0,1,0,1,0,1
AstroType,com.github.tqs.view,SetupWindow,147,0,10,0,39,0,10,0,5,0
AstroType,com.github.tqs.view,ScoreWindow,3,0,0,0,1,0,1,0,1,0
AstroType,com.github.tqs.view,ErrorWindow,15,0,0,0,7,0,4,0,4,0
AstroType,com.github.tqs.view,GameWindow.new TimerTask() {...},10,0,0,0,3,0,2,0,2,0
AstroType,com.github.tqs.view,GameWindow.new JPanel() {...},105,0,6,0,23,0,6,0,3,0
AstroType,com.github.tqs.view,GameWindow.new KeyAdapter() {...},26,0,0,0,8,0,2,0,2,0
AstroType,com.github.tqs.view,GameWindow,200,0,0,0,60,0,8,0,8,0
AstroType,com.github.tqs,Main,61,0,2,0,25,0,6,0,5,0
AstroType,com.github.tqs.model.exceptions.provider,NoWordsException,0,3,0,0,0,1,0,1,0,1
AstroType,com.github.tqs.model.exceptions.provider,UnableToReadWordsException,0,3,0,0,0,1,0,1,0,1
AstroType,com.github.tqs.model.exceptions.provider,NotEnoughWordsException,0,3,0,0,0,1,0,1,0,1
